i,time,node,event,peer,msg
0,10,0,up,55,
1,11,0,up,82,
2,11,0,up,57,
3,11,0,up,20,
4,12,0,up,73,
5,12,0,down,82,
6,12,0,up,10,
7,12,0,down,55,
8,12,0,up,79,
9,12,0,down,20,
10,12,0,up,92,
11,13,0,down,79,
12,13,0,up,45,
13,14,0,down,92,
14,14,0,up,1,
15,14,0,down,57,
16,14,0,up,38,
17,14,0,down,38,
18,14,0,up,46,
19,15,0,down,73,
20,15,0,up,95,
21,15,0,down,10,
22,15,0,up,58,
23,16,0,down,46,
24,16,0,up,66,
25,16,0,down,66,
26,16,0,up,60,
27,16,0,down,60,
28,16,0,up,85,
29,16,0,down,95,
30,16,0,up,64,
31,16,0,down,64,
32,16,0,up,89,
33,17,0,down,89,
34,17,0,up,34,
35,17,0,down,1,
36,17,0,up,54,
37,17,0,down,45,
38,17,0,up,37,
39,18,0,down,58,
40,18,0,up,24,
41,20,0,down,24,
42,20,0,up,90,
43,20,0,down,34,
44,20,0,up,81,
45,20,55,up,0,
46,20,0,down,54,
47,20,0,up,4,
48,20,0,down,85,
49,20,0,up,39,
50,21,0,down,90,
51,21,0,up,17,
52,22,0,down,81,
53,22,0,up,72,
54,22,55,down,0,
55,22,82,up,0,
56,23,0,down,39,
57,23,0,up,68,
58,23,0,down,68,
59,23,0,up,28,
60,23,57,up,0,
61,23,82,down,0,
62,23,20,up,0,
63,23,0,down,72,
64,23,0,up,50,
65,23,0,down,17,
66,23,0,up,65,
67,24,73,up,0,
68,24,10,up,0,
69,24,0,down,37,
70,24,0,up,69,
71,24,79,up,0,
72,24,20,down,0,
73,24,0,down,69,
74,24,0,up,52,
75,24,0,down,52,
76,24,0,up,44,
77,24,0,down,4,
78,24,0,up,5,
79,25,0,down,28,
80,25,0,up,53,
81,25,79,down,0,
82,25,0,down,65,
83,25,0,up,29,
84,25,0,down,50,
85,25,0,up,7,
86,25,0,down,7,
87,25,0,up,22,
88,25,92,up,0,
89,25,0,down,44,
90,25,0,up,35,
91,26,45,up,0,
92,26,0,down,22,
93,26,0,up,87,
94,26,0,down,53,
95,26,0,up,30,
96,26,57,down,0,
97,26,0,down,30,
98,26,0,up,99,
99,27,0,down,35,
100,27,0,up,16,
101,27,0,down,5,
102,27,0,up,27,
103,27,92,down,0,
104,27,0,down,29,
105,27,0,up,93,
106,27,73,down,0,
107,27,0,down,27,
108,27,0,up,86,
109,27,0,down,86,
110,27,0,up,14,
111,27,10,down,0,
112,28,0,down,99,
113,28,0,up,6,
114,28,1,up,0,
115,29,38,up,0,
116,29,38,down,0,
117,29,0,down,16,
118,29,0,up,88,
119,29,0,down,87,
120,29,0,up,3,
121,29,46,up,0,
122,30,0,down,6,
123,30,0,up,43,
124,30,0,down,93,
125,30,0,up,59,
126,30,45,down,0,
127,30,0,down,14,
128,30,0,up,55,
129,31,46,down,0,
130,31,95,up,0,
131,31,0,down,43,
132,31,0,up,32,
133,31,58,up,0,
134,31,0,down,59,
135,31,0,up,47,
136,31,0,down,3,
137,31,0,up,41,
138,31,1,down,0,
139,32,0,down,88,
140,32,0,up,77,
141,32,95,down,0,
142,32,66,up,0,
143,32,66,down,0,
144,32,0,down,55,
145,32,0,up,56,
146,32,0,down,77,
147,32,0,up,67,
148,32,60,up,0,
149,32,0,down,56,
150,32,0,up,96,
151,32,0,down,67,
152,32,0,up,80,
153,32,60,down,0,
154,32,85,up,0,
155,32,0,down,41,
156,32,0,up,70,
157,33,0,down,32,
158,33,0,up,33,
159,33,0,down,96,
160,33,0,up,23,
161,33,64,up,0,
162,33,64,down,0,
163,33,89,up,0,
